ID,POSE,COMBIND_RMSD,GLIDE_RMSD,BEST_RMSD
2f36_lig,0,0.3464900376349952,0.3464900376349952,0.3464900376349952
2wky_lig,0,2.776528946905004,2.776528946905004,0.8661215845838943
8r36_lig,0,1.7731861655192147,1.7731861655192147,1.2242461168016008
2adu_lig,4,2.3688151045183434,2.687708462836465,0.732915621579604
6qeh_lig,11,3.930699925832867,4.276689991650621,1.3739252528409551
2ao6_lig,0,0.5712556162784042,0.5712556162784042,0.1770393481348145
4hlw_lig,0,2.7245387420957106,2.7245387420957106,0.6306317193708001
4oh5_lig,0,0.9884573561764056,0.9884573561764056,0.538848224910781
5cj6_lig,1,1.778032600259249,1.705223361962428,1.3227508204060123
5v8q_lig,0,6.168643966827586,6.168643966827586,0.5997052065479852
5vo4_lig,1,1.7238869070044698,6.041513340723477,1.015997201512355
8fgy_lig,0,2.7568560384527907,2.7568560384527907,0.421205452231817
2b35_lig,0,6.366683224259899,6.366683224259899,4.1750873719560575
4oim_lig,0,3.750524646563992,3.750524646563992,3.3018844961781846
5coq_lig,36,4.032067903164277,5.596740349675255,3.0383903833815333
4bz6_lig,6,1.7915635113922868,1.6224029092944858,1.123512219280821
6hsf_lig,0,2.160298230881876,2.160298230881876,1.3699143140714878
6hsz_lig,0,2.386217676627385,2.386217676627385,1.2689605571572349
6ht8_lig,1,1.3985112361918668,1.544646849753922,0.8879923163165001
6htg_lig,0,1.4243469416166483,1.4243469416166483,1.1544573195270362
3lk8_lig,1,7.949051188256151,2.4389156410506314,0.6779411528466168
3rts_lig,0,8.402058866808662,8.402058866808662,1.2734213506407708
3rtt_lig,5,9.539622709690002,9.498195445940366,2.1223162156454323
4guy_lig,3,8.338684442684198,2.8192060052404178,1.2619792082917338
1q3w_lig,3,1.691288181890669,2.1779056475720275,0.7775657556387113
1q41_lig,1,6.194052371558652,0.9258573935338702,0.8783739999065635
3zrk_lig,11,5.565982256969784,5.716178487782293,1.84400602405766
4pte_lig,72,5.08515040842202,8.255382532207573,1.7407524350873251
5c29_lig,0,5.149202472037573,5.149202472037573,0.7628135794929173
5dh4_lig,0,5.08360161930457,5.08360161930457,1.0844044213702362
5sgu_lig,0,5.85280965826332,5.85280965826332,1.096631498291769
5sj8_lig,0,6.108463697367987,6.108463697367987,0.8475929978285005
1z11_lig,0,1.0222653623362057,1.0222653623362057,0.4118624588596754
2fdv_lig,0,1.2613758181063628,1.2613758181063628,1.0340522346668437
2fdw_lig,1,1.123479533568062,1.0227807886133442,1.0227807886133442
3jya_lig,1,0.8143373907558213,3.849368745695925,0.5615927068647041
3vc4_lig,13,3.2618249078650825,5.9052674755744405,1.3333142804384954
3ans_lig,0,0.4464204024132969,0.4464204024132969,0.4464204024132969
4y2x_lig,41,1.6542486763345952,8.607380104102424,0.7761403102999337
5ai5_lig,0,0.7836867592011,0.7836867592011,0.656875018815082
5aly_lig,10,6.480697692291277,4.3709830739384286,3.446613132222069
5am4_lig,0,5.8003512152521095,5.8003512152521095,1.9436961484469049
6r8r_lig,25,7.98551741270265,3.8099651028844086,1.7970653228654865
7b3g_lig,0,-1.0,-1.0,-1.0
7b3i_lig,0,-1.0,-1.0,-1.0
7b3p_lig,20,2.451598314542021,6.386953452366202,2.0244220240022144
7b3x_lig,0,1.104847422416804,1.104847422416804,1.104847422416804
7b45_lig,1,3.054299613265225,6.568838522305539,1.2902436376719095
7b4x_lig,1,1.7066757051152592,6.415776527006914,1.5073543571148649
7pk3_lig,1,1.6063212327236307,1.527502321331961,1.421265270336404
1uw6_lig,0,2.907014082577028,2.907014082577028,2.5841736965341213
3wtj_lig,48,6.205923397589729,6.701018219267752,4.087514418061737
3wtl_lig,20,4.704771220187356,6.86057543367789,4.318327421998719
3wtn_lig,8,3.099889769381268,5.027137478673708,3.099889769381268
3zdg_lig,5,16.305621316552116,15.859255724294789,15.344724433671264
3zdh_lig,1,2.938456953560331,6.236175276787763,2.6891904526329773
3cho_lig,69,1.905533942117689,7.906404438169969,0.6658317112945045
3chr_lig,2,1.3622049993525556,1.2629478963712713,0.844465762769293
3fh5_lig,3,2.5581088006754915,2.597574538525189,0.6398563832272833
3fui_lig,6,2.259530821493269,2.655768021935875,0.7608187020720633
4dpr_lig,0,10.570101836290348,10.570101836290348,8.289753741814133
4l2l_lig,0,7.608273471966647,7.608273471966647,0.961507465372748
5aen_lig,3,1.9003667756419385,2.7517239716969297,0.5793748581151931
5j1w_lig,0,0.3934022172921753,0.3934022172921753,0.3934022172921753
6ytd_lig,0,5.737890605792013,5.737890605792013,0.6833914093446446
2vd7_lig,32,4.552153095690159,4.607137911229976,0.7330665900835683
5f2s_lig,5,3.890060753920261,2.689369141572252,1.656919409310624
6cg2_lig,2,1.823461451444373,5.551737308524753,1.7278085504053144
3n6k_lig,0,1.50076962687639,1.50076962687639,0.6213653917682014
3rye_lig,35,10.094079794636109,10.757172494777317,8.57109518694223
4ogu_lig,28,9.959581545705806,8.459738622699549,7.577033000227083
5a3x_lig,0,5.784177252118477,5.784177252118477,0.1726751976792599
6s14_lig,0,-1.0,-1.0,-1.0
6s17_lig,0,5.449772365228254,5.449772365228254,0.8734451349708993
6s1b_lig,0,2.2720347647111256,2.2720347647111256,0.9749317456572508
6s1j_lig,3,1.094642383035665,5.99639872581763,0.8953043725514059
7a5d_lig,7,4.378356018472844,4.419603027197186,2.3416143646147654
7aj2_lig,0,6.0656787810609565,6.0656787810609565,0.857957801344099
7aj4_lig,0,6.192725914922675,6.192725914922675,0.7357927275670108
7aj5_lig,0,0.4878359789518212,0.4878359789518212,0.4878359789518212
7aj8_lig,0,0.7302497181962821,0.7302497181962821,0.6839788813227814
7ajm_lig,98,6.561633074314933,5.461734747621255,1.1005914640356504
7ajs_lig,0,1.1572742690748945,1.1572742690748945,1.1572742690748945
7akl_lig,0,6.71596936090284,6.71596936090284,3.62228927637141
1azm_lig,0,1.174244372949292,1.174244372949292,1.0617839019532171
4wup_lig,3,0.9835124800258358,6.19212453319032,0.9835124800258358
5egs_lig,0,15.661035242054371,15.661035242054371,14.452918320281135
6p7i_lig,0,8.970551970919123,8.970551970919123,1.6294150586845997
1x97_lig,0,0.8663626625268138,0.8663626625268138,0.7352910277912756
2pd9_lig,0,0.5501621193744622,0.5501621193744622,0.4388874280212412
2pdk_lig,0,0.9455201465895096,0.9455201465895096,0.5862762104385917
4uh5_lig,17,10.560670963080664,8.05492852849797,5.76933375603307
5fvw_lig,0,10.16043464331452,10.16043464331452,6.120580851549701
5fvx_lig,24,7.890487044015881,9.610403478740087,6.520335213599415
5vuv_lig,21,6.9020644094835815,9.7056180666285,4.756093527261008
5vuz_lig,12,7.6265724199013025,8.953641302506076,4.643027978758405
6auy_lig,6,6.849445446033123,7.741518442612321,4.658447695286856
6ng1_lig,0,8.40470853113274,8.40470853113274,5.307003862103806
7ts2_lig,2,6.819215032067357,8.420315824930075,4.609955056940519
7ts3_lig,0,6.590233073903213,6.590233073903213,4.418400676297286
7ts5_lig,62,6.704673560629169,8.24299705566,3.494827054097485
7ts7_lig,2,6.920791076682006,7.15358333080747,4.193296166224148
7ts8_lig,2,7.127315330962049,7.281442912922551,5.4622374044667446
7uam_lig,8,6.187084867593256,8.714792912308251,3.475374571711999
7us7_lig,2,6.229726810005247,6.355588923329454,4.38783393820483
7us8_lig,15,6.169195028371821,9.557555609036832,3.8478390658770008
3cuk_lig,3,10.737316544754744,3.742809765201903,0.644039278847112
3g3e_lig,54,11.06674627244952,2.925042128810341,0.5855998274789846
3znn_lig,2,10.848085358192227,9.444744685168626,0.7654472183036639
3zno_lig,0,13.737738827891317,13.737738827891317,2.5081465819379223
3znp_lig,4,11.367461114361248,3.6735652930249176,1.7472035091267513
7u9s_lig,0,12.217194961807772,12.217194961807772,2.8094854265464435
7u9u_lig,10,12.466247961160128,8.012224918785218,4.179280931873263
1d3h_lig,0,1.416780966136447,1.416780966136447,0.4119248006382259
3f1q_lig,0,1.384948913150332,1.384948913150332,1.1448577928411847
4jgd_lig,2,2.8707627049051787,2.760052059549684,1.9899527850788192
6lzl_lig,0,2.549988592392887,2.549988592392887,1.4480402146148796
5tq4_lig,1,7.099040722675276,1.6793202623848804,0.8668525764085232
5ut3_lig,0,7.723447125887593,7.723447125887593,5.578319664520913
7q7k_lig,5,1.7014744545449836,0.6366019780205681,0.609749782982454
4obo_lig,0,0.5139449540349628,0.5139449540349628,0.5139449540349628
4obp_lig,0,0.8739410194568186,0.8739410194568186,0.8739410194568186
4u44_lig,3,7.123083953947424,0.7302320237992236,0.7302320237992236
4zp5_lig,0,4.50223303032181,4.50223303032181,1.437905627080979
4n1t_lig,0,0.4616409635506803,0.4616409635506803,0.4157894330315598
4n1u_lig,0,2.1567408083696686,2.1567408083696686,0.6059276768035322
5nhy_lig,47,3.021192772384066,5.793272727234709,2.9555646109026923
6f1x_lig,0,3.1613221220853744,3.1613221220853744,2.708580937438432
6jvr_lig,45,4.975000177993792,5.597004971986832,2.0949208116053786
6us2_lig,0,2.7684144574462897,2.7684144574462897,2.019274078391313
6us3_lig,0,2.1850267530145837,2.1850267530145837,1.9415968573263
6us4_lig,6,0.6738260279920582,5.506625788519317,0.6734975065869045
4jse_lig,8,9.731677913900118,9.082848956448208,0.7481113472898333
4jsg_lig,34,12.45901872275341,17.602082763303752,8.551583508133865
4ugz_lig,2,10.696854742681737,11.16013243647017,8.044080551840535
4uh0_lig,5,11.653125696626471,11.236329194570017,9.540517577548265
5ad7_lig,1,10.148562063786628,9.443762520966397,8.723145576530674
5fvp_lig,1,12.27546451346686,11.921777782005192,10.648947845555446
5fvs_lig,8,13.73827647349424,13.377873843401932,11.794796868270666
5g0n_lig,4,12.534295347399745,12.68685187912059,11.174616132001091
5g0p_lig,0,12.399121707215786,12.399121707215786,10.180217144639434
5vui_lig,1,12.04617321342174,12.56475887726729,9.576247926421088
5vum_lig,8,13.763031471730296,13.854796417931151,9.57787906675879
6auq_lig,8,10.784612576208028,11.33151245887558,8.571020770399837
6ngj_lig,9,9.2730982948171,11.996850255958622,9.243422985776371
7ts9_lig,37,12.364576257236212,18.391145274863543,10.661201098607052
7tsb_lig,3,10.242831368286335,17.259493826931873,10.04093723181111
7tsc_lig,2,12.612090020813158,13.639245955867333,8.952876391277966
7tsd_lig,12,13.120453665629498,13.91066728126583,10.176878989884866
7tse_lig,2,12.098471552143089,11.629171208972016,10.184367230426249
7uan_lig,2,12.520351169815164,11.747987660759474,10.877110411192987
1u3q_lig,3,1.6829568614540038,2.7517696979915387,0.5091556102659356
1u3r_lig,0,0.7830228679337775,0.7830228679337775,0.7830228679337775
1u3s_lig,0,0.5773980875061508,0.5773980875061508,0.5773980875061508
1u9e_lig,1,0.4140538418703394,0.4114838297208823,0.4069916312744893
1x76_lig,2,0.6683794938221843,0.7416058592490531,0.6076759503024177
1x78_lig,0,3.03134936750292,3.03134936750292,0.4738228039152931
1x7b_lig,1,2.8955933124022435,2.5226087902528693,0.8113809021617089
1x7j_lig,0,2.4161468779677286,2.4161468779677286,0.7357218981960508
1yye_lig,1,3.2558196799877406,3.259629027667996,1.5464852005867409
2i0g_lig,0,0.8655910568019264,0.8655910568019264,0.7982232826093925
2nv7_lig,0,0.8000313539849239,0.8000313539849239,0.5781656782548145
5toa_lig,0,2.6808470688214103,2.6808470688214103,0.4483207168028257
4ey5_lig,4,0.5986491808443041,0.8341031683987836,0.3153718984687399
4ey6_lig,0,5.222376392848196,5.222376392848196,3.6209210250957393
4m0e_lig,20,11.026371781360984,2.849903502589485,1.41154569389588
1rr6_lig,5,2.697810910413976,2.853363240368534,1.1224261706804926
3k8q_lig,0,2.331181114641044,2.331181114641044,1.0490061294150537
5ugf_lig,5,2.5858552158386594,2.446510336716861,1.1913175593891836
3frb_lig,1,1.4742366489241463,3.7378333461501216,1.4742366489241463
3sqy_lig,1,0.6775287618300423,2.352060798791679,0.6775287618300423
3srq_lig,13,2.3823063125998973,3.0625895012007702,1.0918994568734135
1aoe_lig,0,0.6079055847261976,0.6079055847261976,0.5476648378977782
1ia1_lig,1,1.2415596513342442,2.444489121393961,1.2297768990169675
1ia2_lig,0,0.4439337872512635,0.4439337872512635,0.4439337872512635
6fvz_lig,33,8.214000843513531,8.418605420750318,0.5618446309076695
6fw0_lig,35,7.932692774098311,7.981385586678441,0.5605864094942165
6fwc_lig,77,7.881426386801289,1.234664510351236,0.6048893932484863
7b0v_lig,1,8.310429521570821,8.350584093327935,0.5000147589545767
7b0z_lig,2,8.581073245474562,2.981836139228268,2.079400993338753
1tow_lig,7,0.8678519365484499,3.4349074075163566,0.4572493922676173
6ljs_lig,2,1.601403084667573,3.311652041469457,1.3162721253665768
7fw5_lig,0,1.6971569261322172,1.6971569261322172,1.40281369409642
7fw8_lig,0,1.1648990297579034,1.1648990297579034,1.1648990297579034
2g9q_lig,0,3.0552948451180257,3.0552948451180257,0.5568946816608249
2g9r_lig,2,3.4692677387988176,3.0416675758857306,2.759149125266185
2g9v_lig,3,0.2571623515060089,2.615223759761753,0.2571623515060089
4hvd_lig,3,1.550323509353927,1.5691706486970236,0.9541306973363616
4hvh_lig,0,1.0565528925292178,1.0565528925292178,0.8212755106576017
5olz_lig,0,0.8379107272344825,0.8379107272344825,0.8288797908592963
8du3_lig,0,4.745540308659209,4.745540308659209,0.3814338269435008
8pwn_lig,2,0.8808504841187894,1.0706517621179648,0.4995092146599024
1y2e_lig,1,2.988128719376164,2.482514987442722,1.2018566295511293
1y2k_lig,1,2.663467404194899,1.296329879117323,0.9261537884803602
3g4k_lig,2,1.542218665414976,1.3879860347544029,0.6128120408721177
3k4s_lig,0,2.0887981736815915,2.0887981736815915,1.2790035620050673
1xlz_lig,2,4.204132358758055,4.003165850641744,1.5753585102939194
1xm6_lig,2,2.235461669429652,1.4261127917935554,1.1029101721604997
1xmy_lig,6,1.7898514642721763,4.686219739400773,1.0447122623030711
1y2h_lig,0,4.1238644020521775,4.1238644020521775,1.6460874031935795
3o0j_lig,1,7.140168655100101,8.010648276819198,2.4079785858358846
4kp6_lig,5,6.011129024886839,8.050503313799936,5.944959835626029
4j0r_lig,0,1.8378630563857308,1.8378630563857308,0.587901816279803
4j0s_lig,0,1.8442766020714785,1.8442766020714785,0.3639212389613742
4qb3_lig,1,6.110039990370488,6.614942565189666,3.573834508854269
5i80_lig,3,4.243627562272272,4.141824275523012,1.043352003087732
5y1y_lig,1,4.961521405135223,6.2045790278853445,0.930130408497033
5yqx_lig,1,6.83900017074719,5.794190128384455,1.558099569209423
6afr_lig,0,4.968866455206537,4.968866455206537,1.3232159523821752
6czv_lig,0,6.87492043893387,6.87492043893387,0.5851344743277477
7c2z_lig,0,5.707237015162253,5.707237015162253,2.85250857596993
5d29_lig,0,1.644447660301659,1.644447660301659,1.3083765150896929
5ely_lig,0,1.7279697769697688,1.7279697769697688,1.388624931831127
6rti_lig,12,7.350733230695018,6.974665813638084,6.7714895126242425
1s2c_lig,15,3.067953135086193,9.672859357002697,2.0456155078974523
3r43_lig,13,25.72731869703896,23.96740766430833,23.85974247888532
3r58_lig,2,25.521163108322437,25.85396383260088,23.884260184957288
3r6i_lig,25,25.645859539495856,24.212286071465307,24.00283804266967
3ufy_lig,2,25.50257593626525,25.77262372813566,23.83475986852152
3uwe_lig,0,25.72252515397526,25.72252515397526,23.620464916075026
4wdx_lig,1,26.189335256203396,26.88632819641018,24.118734396405237
7c7g_lig,46,28.819116724047237,29.21351335871369,26.90413918148825
1gwq_lig,0,1.7138433877973185,1.7138433877973185,0.4526339608976358
3hm1_lig,0,0.6434063025672813,0.6434063025672813,0.6434063025672813
3uu7_lig,0,3.3537069984030405,3.3537069984030405,0.6796148776780514
4pp6_lig,4,0.8215545291116245,7.2193726228398045,0.651686534958379
4zn7_lig,1,1.6601029666969307,1.65962926691519,0.928335905428633
5dlr_lig,6,4.096717150659976,1.1143370302982436,0.909731071579848
5kr9_lig,0,0.7322474309632637,0.7322474309632637,0.6354773043126326
5tll_lig,6,0.6006639686077955,6.982973340419502,0.594899335838192
7nel_lig,0,0.3871126815863823,0.3871126815863823,0.3871126815863823
7nfb_lig,3,0.8189529313872684,2.200411349456494,0.6672060373603496
