ID,SMILES
2B7A_lig,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1
3FUP_lig,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12
6VNE_lig,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1
6WTN_lig,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1
3TJC_lig,CNC(=O)c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc12
4AQC_lig,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4ccc(N5CCOCC5)cc4)nc23)cc1
4BBF_lig,O=C(Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)[C@H]1CCCN1
4BBE_lig,CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1
4JIA_lig,COc1ccc(-c2cccc3nc(Nc4ccc(N5CCN(C)CC5)cc4)nn23)cc1
4C61_lig,Cc1csc2c(Nc3cn(C)cn3)nc(N[C@@H](C)c3ncc(F)cn3)nc12
6WTO_lig,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1
4D0X_lig,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1cc(C(F)(F)F)ccc1Cl
4D1S_lig,Cc1ccc(Cl)cc1-c1c(C(N)=O)cc(-c2ccnc(Nc3ccc(N4CCN(C)CC4)cc3)n2)n1C
4D0W_lig,Cc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(N)=O
5AEP_lig,Cc1ccc(Cl)cc1-n1cc(-c2ncnn3cccc23)cc1C(N)=O
5CF5_lig,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nc(C)c(C)s3)nc21
5CF4_lig,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(NCCCOC)nc21
5CF6_lig,CNc1nc2c(cc(C(=O)N(C3CC3)C3CC3)n2C[C@H](O)CO)c2c1ncn2C
5CF8_lig,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21
5UT5_lig,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1
6BBV_lig,CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1
5TQ6_lig,C[C@@H]1CCN(C(=O)N2CCCC2)C[C@@H]1N(C)c1ncnc2[nH]ccc12
5TQ5_lig,CCc1cc(O)ccc1-c1ccc2c(C(=O)Nc3ccc(C)nc3)n[nH]c2c1
8BXH_lig,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1
8BX6_lig,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1
7F7W_lig,Cc1cnc(Nc2ccc(N3CCC(N(C)CCO)CC3)c(F)c2)nc1-c1cnn(C(C)C)c1
6X8E_lig,Cn1cc(-c2cn3nccc3c(-c3cnn(C4(CC#N)CN(CC(F)(F)F)C4)c3)n2)cn1
6VSN_lig,N#CC[C@@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1
6VNC_lig,N#CC[C@H](C1CCCC1)n1cc(-c2nc(Nc3ccc(C4CCNCC4)cc3)nc3[nH]ccc23)cn1
6VNB_lig,N#CC[C@@H](C1CCCC1)n1cc(-c2nc(Nc3ccc(C4CCNCC4)cc3)nc3[nH]ccc23)cn1
6VNM_lig,C=CCCn1cc(-c2nc(Nc3ccc(C4CCNCC4)cc3)nc3[nH]ccc23)cn1
6VNG_lig,Cc1cnc(Nc2ccc(C3CCN(C)CC3)c(F)c2)nc1Nc1ccc(F)c(NS(=O)(=O)C(C)(C)C)c1
6VNH_lig,Cc1cnc(Nc2cc(F)c(C3CCN(C)CC3)c(F)c2)nc1Nc1ccc(F)c(NS(=O)(=O)C(C)(C)C)c1
6VNL_lig,Cc1cnc(Nc2ccc(C(=O)NC3CCN(C)CC3)c(F)c2)nc1Nc1ccc(Cl)c(NS(=O)(=O)C(C)(C)C)c1
6VNF_lig,Cc1cnc(Nc2ccc(C3CCN(C)CC3)c(F)c2)nc1Nc1ccc2c(c1)N(S(=O)(=O)C(C)(C)C)CC2
7Q7L_lig,CCc1cc(O)c(F)cc1-c1cc(N[C@@H](C)CO)c2nc(N)ncc2c1
7Q7W_lig,CCc1cc(O)c(F)cc1-c1cc(N[C@@H](C)CO)c2nc(NCCCCCN(C)C)ncc2c1
8BX9_lig,C[C@H](Nc1cc(-c2cnn(C)c2)cc(Nc2cnccn2)n1)c1ccc(F)cc1
8BPW_lig,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O
8BXC_lig,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1
2XA4_lig,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1
8BM2_lig,Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)n[nH]1
5UT4_lig,Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1
4JI9_lig,Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1
8B99_lig,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F
6OBL_lig,N#Cc1ccc(Nc2nc(N)n(C(=O)Nc3ccc(OCC(=O)O)cc3)n2)cc1
6OBF_lig,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)Nc1ccc(OCC(=O)O)cc1
6OCC_lig,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)Nc1ccc(-c2nc(C(=O)O)co2)cc1
7T1T_lig,Nc1nc(Oc2ccc(NC(=O)N[C@@H](CCc3ccccc3)C(=O)O)cc2)c2cc[nH]c2n1
7T0P_lig,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)Nc1ccc(-c2ccc(OCc3ccccc3)c(C(=O)O)c2)cc1
7SZW_lig,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)Nc1ccc(-c2ccnc(C(=O)O)c2)cc1
4GMY_lig,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cccc1Cl
